十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址（里鄰）,地址,聯絡電話,座標緯度,座標經度,備註
2342030015,高雄市旗山區衛生所,高雄市,旗山區,842,,高雄市旗山區湄洲里中正路197號,07-6612054,22.890057,120.479968,null
2342040011,高雄市美濃區衛生所,高雄市,美濃區,843,,高雄市美濃區美中路二四六號,07-6812064,22.894942,120.541471,null
2342050017,高雄市林園區衛生所,高雄市,林園區,832,,高雄市林園區林園北路186號,07-6412404,22.507762,120.395008,null
2342060013,高雄市大寮區衛生所,高雄市,大寮區,831,,高雄市大寮區進學路129巷2-1號,07-7811965,22.604395,120.393515,null
2342070019,高雄市大樹區衛生所,高雄市,大樹區,840,,高雄市大樹區中興北路120號,07-6512935,22.693465,120.43289,null
2342080015,高雄市仁武區衛生所,高雄市,仁武區,814,,高雄市仁武區仁武里地政街23號,07-3711434,22.701312,120.347655,null
2342090011,大社區衛生所,高雄市,大社區,815,,高雄市大社區自強街7號,07-3511774,22.7311705,120.3471163,null
2342100012,高雄市鳥松區衛生所,高雄市,鳥松區,833,,高雄市鳥松區鳥松里文前路文北巷1弄4號,07-7316404,22.663573,120.3605968,null
2342110018,高雄市橋頭區衛生所,高雄市,橋頭區,825,,高雄市橋頭區橋頭里隆豐路5號,07-6113516,22.757895,120.311416,null
2342120014,高雄市燕巢區衛生所,高雄市,燕巢區,824,,高雄市燕巢區南燕里中興路2號,07-6161148,22.79303,120.361659,null
2342130010,高雄市田寮區衛生所,高雄市,田寮區,823,,高雄市田寮區南安里崗北路32號,07-6361504,22.8698826,120.359436,null
2342140016,高雄市阿蓮區衛生所,高雄市,阿蓮區,822,,高雄市阿蓮區民生路94-1號,07-6317141,22.882809,120.327524,null
2342150012,高雄市路竹區衛生所,高雄市,路竹區,821,,高雄市路竹區竹南里國昌路86巷22號,07-6962449,22.8494042,120.2628111,null
2342160018,高雄市湖內區衛生所,高雄市,湖內區,829,,高雄市湖內區湖中路203號,07-6993009,22.905245,120.222385,null
2342170014,高雄市茄萣區衛生所,高雄市,茄萣區,852,,高雄市茄萣區濱海路二段1號,07-6989275,22.888198,120.184994,null
2342180010,高雄市永安區衛生所,高雄市,永安區,828,,高雄市永安區永安路26號,07-6912015,22.8188925,120.2263086,null
2342190016,高雄市彌陀區衛生所,高雄市,彌陀區,827,,高雄市彌陀區中華路1巷5弄1號,07-6175307,22.782146,120.250575,null
2342200017,高雄市梓官區衛生所,高雄市,梓官區,826,,高雄市梓官區梓信里公館路45號,07-6103050,22.764651,120.267641,null
2342210013,高雄市六龜區衛生所,高雄市,六龜區,844,,高雄市六龜區六龜里民治路18號,07-6891244,22.9980939,120.6311182,null
2342220019,高雄市甲仙區衛生所,高雄市,甲仙區,847,,高雄市甲仙區和安里中山路52號,07-6751029,23.083935,120.587454,null
2342230015,高雄市杉林區衛生所,高雄市,杉林區,846,,高雄市杉林區山仙路93巷2號,07-6771319,22.982568,120.555369,null
2342240011,高雄市內門區衛生所,高雄市,內門區,845,,高雄市內門區觀亭里16鄰中埔頭20號,07-6671088,22.9560087,120.4703258,null
2342250017,高雄市茂林區衛生所,高雄市,茂林區,851,,高雄市茂林區茂林里8之4號,07-6801046,22.886187,120.663269,null
2342260013,高雄市桃源區衛生所,高雄市,桃源區,848,,高雄市桃源區桃源里南進巷188-1號,07-6861126,23.158454,120.764176,null
2342270019,高雄市那瑪夏區衛生所,高雄市,那瑪夏區,849,,高雄市那瑪夏區瑪雅里6鄰平和巷252號,07-6701142,23.2381279,120.6942523,null
2502090013,國軍高雄門診中心附設民眾診療服務處,高雄市,前鎮區,806,,高雄市前鎮區興東里光華二路51號,07-3344003,22.60993,120.316794,null
2702040071,台灣中油股份有限公司煉製事業部國光聯合診所,高雄市,楠梓區,811,,高雄市楠梓區後昌路546巷2號,07-5824141,22.708342,120.301002,null
3402040512,日月光半導體製造股份有限公司,高雄市,楠梓區,811,,高雄市楠梓區經五路123號6樓,07-3617131,22.721849,120.301612,null
3502010187,木雄婦產科診所,高雄市,鹽埕區,803,,高雄市鹽埕區大禮街6０－1號,07-5618121,22.622208,120.287739,null
3502010329,劉應炎診所,高雄市,鹽埕區,803,,高雄市鹽埕區大公路100號,07-5511051,22.6278831,120.2825086,null
3502010427,施家庭醫學科診所,高雄市,鹽埕區,803,,高雄市鹽埕區新興街118號,07-5324460,22.627066,120.282072,null
3502010463,盧榮坤小兒科診所,高雄市,鹽埕區,803,,高雄市鹽埕區莒光街137號,07-5315657,22.622795,120.284122,null
3502010507,汪昇勳耳鼻喉科診所,高雄市,鹽埕區,803,,高雄市鹽埕區瀨南街225之1號一樓,07-5216655,22.627985,120.284123,null
3502020254,柯文良小兒科診所,高雄市,鼓山區,804,,高雄市鼓山區華榮路352號,07-5535760,22.667704,120.296152,null
3502020316,家安診所,高雄市,鼓山區,804,,高雄市鼓山區明誠里裕誠路1515號 ,07-5541515,22.664864,120.295185,null
3502020423,謝加晉診所,高雄市,鼓山區,804,,高雄市鼓山區民利街1號1樓,07-5532526,22.6613179,120.2950065,null
3502020503,建元診所,高雄市,鼓山區,804,,高雄市鼓山區裕誠路1143號,07-5543957,22.665634,120.297679,null
3502020530,瑞芳耳鼻喉科診所,高雄市,鼓山區,804,,高雄市鼓山區華榮路298號1樓 ,07-5527887,22.666279,120.297016,null
3502020549,腎美診所,高雄市,鼓山區,804,,高雄市鼓山區中華一路336號,07-5544900,22.6623533,120.2921689,null
3502021635,明誠聯合診所,高雄市,鼓山區,804,,高雄市鼓山區中華一路310號 ,07-5538665,22.665633,120.291402,null
3502021733,祐琳小兒科診所,高雄市,鼓山區,804,,高雄市鼓山區裕誠路1180號 ,07-5551870,22.666021,120.297486,null
3502021760,容婦產科診所,高雄市,鼓山區,804,,高雄市鼓山區明誠三路487號,07-5541000,22.6610303,120.3004475,null
3502022114,祐安小兒科診所,高雄市,鼓山區,804,,高雄市鼓山區九如四路1410號,07-5318616,22.658201,120.279276,null
3502022150,建生診所,高雄市,鼓山區,804,,高雄市鼓山區美術東四路325號,07-5555366,22.660824,120.290101,null
3502022203,吳展名診所,高雄市,鼓山區,804,,高雄市鼓山區明誠三路598號,07-5535658,22.661335,120.297421,null
3502022230,鄭廣仁小兒科診所,高雄市,鼓山區,804,,高雄市鼓山區華榮路207號,07-5555350,22.665539,120.296746,null
3502030072,德仁診所,高雄市,左營區,813,,高雄市左營區勝利路190號,07-5819228,22.6817426,120.2888253,null
3502030143,吳光男小兒科內科診所,高雄市,左營區,813,,高雄市左營區?後街19號,07-5812871,22.6832395,120.2881433,null
3502030189,胡義祥內兒科診所,高雄市,左營區,813,,高雄市左營區左營大路85號,07-5826811,22.682491,120.288143,null
3502030385,馬遠成診所,高雄市,左營區,813,,高雄市左營區果峰街2巷2號1樓,07-5832348,22.670597,120.289246,null
3502030474,傳家家庭醫學科診所,高雄市,左營區,813,,高雄市左營區裕誠路265號,07-5587919,22.664699,120.309159,null
3502030483,蔡鶴峰診所,高雄市,左營區,813,,高雄市左營區後昌路601號,07-3661818,22.707707,120.29952,null
3502030616,長安診所,高雄市,左營區,813,,高雄市左營區左營大路253號1樓,07-5821864,22.686201,120.290442,null
3502030643,黃昭文診所,高雄市,左營區,813,,高雄市左營區自由二路255號1樓,07-5592289,22.6624537,120.3081759,null
3502030723,楊宜璋耳鼻喉科診所,高雄市,左營區,813,,高雄市左營區明誠二路362 號1樓,07-5591007,22.66142,120.307289,null
3502030750,沈嘉充診所,高雄市,左營區,813,,高雄市左營區中華一路5號,07-5851778,22.669611,120.2846577,null
3502030876,李建中診所,高雄市,左營區,813,,高雄市左營區崇德路238號1樓,07-3498018,22.67526,120.304742,null
3502030947,國聖診所,高雄市,左營區,813,,高雄市左營區文慈路150號,07-3506203,22.681833,120.318117,null
3502031953,力人耳鼻喉科診所,高雄市,左營區,813,,高雄市左營區自由二路456 號1樓,07-5560618,22.6680745,120.3073982,null
3502032110,張簡耳鼻喉科診所,高雄市,左營區,813,,高雄市左營區自由三路300號,07-3454185,22.674069,120.312325,null
3502032192,金仁福診所,高雄市,左營區,813,,高雄市左營區華夏路228號,07-5529843,22.669949,120.296791,null
3502032227,李凱斌小兒科診所,高雄市,左營區,813,,高雄市左營區文莊路53號,07-3454784,22.6774015,120.3099618,null
3502032316,王欽程診所,高雄市,左營區,813,,高雄市左營區華夏路1141號,07-3491100,22.6843709,120.3068563,null
3502032325,華夏診所,高雄市,左營區,813,,高雄市左營區華夏路708號1樓,07-3453961,22.677888,120.302205,null
3502032432,薛智峰耳鼻喉科診所,高雄市,左營區,813,,高雄市左營區新光里華夏路703號,07-3439190,22.678188,120.302074,null
3502032594,陳進成診所,高雄市,左營區,813,,高雄市左營區華夏路985號1樓,07-3503387,22.681534,120.305338,null
3502032610,乃聖診所,高雄市,左營區,813,,高雄市左營區文強路232號1樓,07-3500041,22.676876,120.307728,null
3502032638,王津勝小兒科診所,高雄市,左營區,813,,高雄市左營區華夏路260號,07-5533243,22.670603,120.297169,null
3502032656,吉祥診所,高雄市,左營區,813,,高雄市左營區翠華路601巷75號,07-5810757,22.672416,120.289568,null
3502032781,晨田耳鼻喉科診所,高雄市,左營區,813,,高雄市左營區福山里榮佑路41號,07-3508893,22.681703,120.320644,null
3502032790,康澤小兒科診所,高雄市,左營區,813,,高雄市左營區自由三路382號1樓,07-3453356,22.67494,120.31247,null
3502032825,林克臻婦產科診所,高雄市,左營區,813,,高雄市左營區華夏路628號1.2樓,07-3480088,22.6767428,120.2991654,null
3502032861,陳俊男診所,高雄市,左營區,813,,高雄市左營區自由二路216號1樓,07-5506531,22.66383,120.308519,null
3502032889,李全忠診所,高雄市,左營區,813,,高雄市左營區自由三路528號,07-3450696,22.678346,120.313721,null
3502032941,龔晉賢內科診所,高雄市,左營區,813,,高雄市左營區左營大路514-6號,07-5887903,22.6894351,120.295529,null
3502033082,恩欣小兒科診所,高雄市,左營區,813,,高雄市左營區自由四路324號,07-3451966,22.684915,120.316579,null
3502033297,福山診所,高雄市,左營區,813,,高雄市左營區重愛路218號1樓,07-3482323,22.685597,120.315601,null
3502033304,永霖小兒科診所,高雄市,左營區,813,,高雄市左營區孟子路415號1樓 ,07-3498118,22.6755,120.307684,null
3502033329,陳信旭小兒科診所,高雄市,左營區,813,,高雄市左營區明華一路156號1樓,07-5590256,22.6629368,120.3070113,null
3502033420,富誠診所,高雄市,左營區,813,,高雄市左營區富國路355號,07-5560925,22.666859,120.307305,null
3502033573,楊東穎診所,高雄市,左營區,813,,高雄市左營區自由三路327號1樓 ,07-3505726,22.674198,120.311865,null
3502033582,健志耳鼻喉科診所,高雄市,左營區,813,,高雄市左營區新庄仔路201號1樓,07-3432201,22.670081,120.304865,null
3502040078,歐慈德內科診所,高雄市,楠梓區,811,,高雄市楠梓區後昌路915號,07-3633900,22.71339,120.293728,null
3502040238,楊煌榮內科診所,高雄市,楠梓區,811,,高雄市楠梓區加昌路972號,07-3618293,22.7130506,120.2906052,null
3502040256,平安診所,高雄市,彌陀區,827,,高雄市彌陀區中正路233-1號,07-3513787,22.7849249,120.247551,null
3502040309,宏生診所,高雄市,楠梓區,811,,高雄市楠梓區樂群路179巷2號,07-3619412,22.718957,120.296716,null
3502040318,吉豐耳鼻喉科診所,高雄市,楠梓區,811,,高雄市楠梓區建楠路143號,07-3515056,22.726741,120.326605,null
3502040434,苑秉純診所,高雄市,楠梓區,811,,高雄市楠梓區軍校路792號,07-3645885,22.7098511,120.293051,null
3502040550,宏育診所,高雄市,楠梓區,811,,高雄市楠梓區樂群路241號,07-3655331,22.72058,120.296127,null
3502040578,健安診所,高雄市,楠梓區,811,,高雄市楠梓區岳陽街53號,07-3529801,22.729749,120.3285023,null
3502040596,高耿耀診所,高雄市,楠梓區,811,,高雄市楠梓區建楠路179號,07-3529803,22.726808,120.3236223,null
3502040649,楊雲志診所,高雄市,楠梓區,811,,高雄市楠梓區軍校路676號,07-3643826,22.7071896,120.29309,null
3502040667,陳顯明診所,高雄市,楠梓區,811,,高雄市楠梓區德賢路265號,07-3648127,22.726114,120.303945,null
3502040685,康東原診所,高雄市,楠梓區,811,,高雄市楠梓區右昌街376號 ,07-3610115,22.715042,120.28898,null
3502040738,常德診所,高雄市,楠梓區,811,,高雄市楠梓區常德路331號,07-3537431,22.7374754,120.3372017,null
3502040809,聖昌診所,高雄市,楠梓區,811,,高雄市楠梓區後昌路773號,07-3639666,22.7102021,120.2960562,null
3502040818,佑強診所,高雄市,楠梓區,811,,高雄市楠梓區德民路908號,07-3683687,22.7212128,120.2895637,null
3502041824,郭士彰耳鼻喉科診所,高雄市,楠梓區,811,,高雄市楠梓區後昌路862-1號,07-3683235,22.712391,120.294621,null
3502041860,孫欲珍小兒科家庭醫學科診所,高雄市,楠梓區,811,,高雄市楠梓區海專路237號1樓,07-3613709,22.7250489,120.3126111,null
3502041888,祥霖診所,高雄市,楠梓區,811,,高雄市楠梓區德賢路530巷9號,07-3630930,22.726402,120.301729,null
3502041977,冠全診所,高雄市,楠梓區,811,,高雄市楠梓區德民路1002-12號,07-3602123,22.720299,120.287652,null
3502042036,仁安診所,高雄市,楠梓區,811,,高雄市楠梓區後昌路1165號,07-3684128,22.717288,120.29093,null
3502042054,杏生婦產科診所,高雄市,楠梓區,811,,高雄市楠梓區德民路290號,07-3658288,22.725964,120.307495,null
3502042223,王建安小兒科診所,高雄市,楠梓區,811,,高雄市楠梓區德民路949號1樓,07-3600680,22.720698,120.288946,null
3502042248,廣佑安診所,高雄市,楠梓區,811,,高雄市楠梓區德民路782號,07-3605998,22.721932,120.292572,null
3502042269,健康家庭醫學科診所,高雄市,楠梓區,811,,高雄市楠梓區清豐二路86號,07-3535296,22.7374856,120.3309387,null
3502042296,長義診所,高雄市,楠梓區,811,,高雄市楠梓區惠民路46號,07-3640553,22.724916,120.298573,null
3502042312,家福耳鼻喉科診所,高雄市,楠梓區,811,,高雄市楠梓區後昌新路15號,07-3609988,22.718476,120.291688,null
3502050378,董金山診所,高雄市,三民區,807,,高雄市三民區大昌二路544號,07-3833405,22.651829,120.33018,null
3502051133,黃義霖診所,高雄市,三民區,807,,高雄市三民區澄和路6號,07-3857422,22.6444657,120.3437963,null
3502051348,曾繁英診所,高雄市,三民區,807,,高雄市三民區自立一路267號,07-3111048,22.64249,120.296143,null
3502051366,黃旭瑞耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區大昌二路482號1樓,07-3802334,22.650932,120.331183,null
3502051375,蕭瑞榮小兒科診所,高雄市,三民區,807,,高雄市三民區建工路533號,07-3867121,22.647856,120.315414,null
3502051428,張倉銓診所,高雄市,三民區,807,,高雄市三民區大順二路183號,07-3808538,22.6429323,120.3264439,null
3502051544,莊永昌診所,高雄市,三民區,807,,高雄市三民區建工路332號,07-3922289,22.653182,120.3307196,null
3502051599,徐樹本小兒科診所,高雄市,三民區,807,,高雄市三民區建興路373號,07-3867833,22.646792,120.32215,null
3502051642,羅韻珊小兒科診所,高雄市,三民區,807,,高雄市三民區大豐二路110-1號1樓,07-3870430,22.645734,120.32911,null
3502051839,余建興耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區建興路183號1樓,07-3952899,22.643608,120.326045,null
3502051955,胡榿小兒科診所,高雄市,三民區,807,,高雄市三民區九如一路820號,07-3827356,22.640161,120.31949,null
3502052121,王俊仁耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區陽明路416號,07-3959039,22.646237,120.34295,null
3502052130,振祐診所,高雄市,三民區,807,,高雄市三民區大豐二路154號,07-3805909,22.645451,120.330757,null
3502052149,王婦產科診所,高雄市,三民區,807,,高雄市三民區九如一路440號,07-3873979,22.6389678,120.3300926,null
3502052274,醫鼎診所,高雄市,三民區,807,,高雄市三民區裕誠路1０1號一樓二樓,07-3506789,22.663776,120.313519,null
3502052292,王漢卿小兒科診所,高雄市,三民區,807,,高雄市三民區陽明路132號,07-3877918,22.640579,120.341836,null
3502052345,儲昭仁耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區九如一路854號,07-3890470,22.640239,120.318738,null
3502052498,范雅修小兒科診所,高雄市,三民區,807,,高雄市三民區平等路163號,07-3876366,22.64219,120.320831,null
3502052694,育明診所,高雄市,三民區,807,,高雄市三民區民族一路537號,07-3478461,22.666021,120.31634,null
3502052729,開元診所,高雄市,三民區,807,,高雄市三民區陽明路21號,07-3873595,22.6376441,120.3409405,null
3502052756,蔡仁正診所,高雄市,三民區,807,,高雄市三民區天祥一路200號,07-3597493,22.6679807,120.3183334,null
3502053904,許聰騰診所,高雄市,三民區,807,,高雄市三民區大昌二路100號,07-3981023,22.6429636,120.3323267,null
3502054125,張殷彰診所,高雄市,三民區,807,,高雄市三民區建工路531號,07-3867121,22.647856,120.315414,null
3502054250,黃學武家庭醫學科診所,高雄市,三民區,807,,高雄市三民區大昌二路23號,07-3815668,22.6392785,120.3321484,null
3502054465,謝明容耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區大昌二路142號1樓,07-3973999,22.644204,120.332256,null
3502054527,黃志維耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區建工路608號,07-3947605,22.649477,120.323138,null
3502054616,桔生診所,高雄市,三民區,807,,高雄市三民區裕誠路109號,07-3454838,22.6636776,120.3133183,null
3502054652,高鳳診所,高雄市,三民區,807,,高雄市三民區灣中街328號一樓,07-3865481,22.649884,120.317863,null
3502054698,德恩內科診所,高雄市,三民區,807,,高雄市三民區民族一路390號,07-3958282,22.6527341,120.3154544,null
3502054929,承安耳鼻喉科診所,高雄市,三民區,807,,高雄市三民區力行路250號1樓,07-3160789,22.6380488,120.2866675,null
3502055024,蔡智禮診所,高雄市,三民區,807,,高雄市三民區北平一街132號,07-3225728,22.650157,120.305108,null
3502055211,明陽診所,高雄市,三民區,807,,高雄市三民區陽明路65號,07-3963488,22.638838,120.341185,null
3502055275,明榮診所,高雄市,三民區,807,,高雄市三民區熱河一街370號1-2樓,07-3222875,22.644009,120.305858,null
3502055293,元成診所,高雄市,三民區,807,,高雄市三民區陽明路81號,07-3903808,22.639694,120.341262,null
3502055364,晶品診所,高雄市,三民區,807,,高雄市三民區十全一路223號1樓,07-3222517,22.644848,120.307277,null
3502055389,禾泰診所,高雄市,三民區,807,,高雄市三民區陽明路68號,07-3903812,22.6395147,120.3415575,null
